Candidate.id,Candidate_Entity:id,General_Party.id,Election_Type.id,Office_Sought.id,Broad_Sector.id,Incumbency_Status,Status_of_Candidate.id,Industry_Spending_Totals,Candidate,Election_Status,Status_of_Candidate,General_Party,Election_Year,Election_Type,Office_Sought,Incumbency_Status,Broad_Sector
202189,331199,2,1,15018,6,2,1,1349615,"MCCARTHY, KEVIN",Won-General,Won,Republican,2016,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
110976,70023,1,1,9175,6,1,1,1315346,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2006,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
2587,6398641,1,1,9172,6,1,2,1289929,"UMBERG, TOM",Lost-Primary,Lost,Democratic,2002,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
33014,48993,2,1,9169,2,3,2,1171793,"SIMON JR, WILLIAM E (BILL)",Lost-General,Lost,Republican,2002,Standard,GOVERNOR,Challenger,Construction
123398,70023,1,1,9169,8,1,1,1148859,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2010,Standard,GOVERNOR,Open,Health
65375,29169,2,1,9169,8,1,2,1148654,"WHITMAN, MARGARET C (MEG)",Lost-General,Lost,Republican,2010,Standard,GOVERNOR,Open,Health
202249,390709,2,1,15034,6,2,1,1117200,"ROYCE SR, EDWARD D",Won-General,Won,Republican,2016,Standard,US HOUSE DISTRICT CA 039,Incumbent,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,5,2,1,1108928,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2006,Standard,GOVERNOR,Incumbent,Energy & Natural Resources
49626,6654738,2,1,9174,6,3,2,1060888,"PRINGLE, CURT",Lost-General,Lost,Republican,1998,Standard,TREASURER,Challenger,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,5,1,2,1057432,"LUNGREN, DANIEL E",Lost-General,Lost,Republican,1998,Standard,GOVERNOR,Open,Energy & Natural Resources
160183,2545581,1,1,14929,6,2,1,1031755,"BOXER, BARBARA S",Won-General,Won,Democratic,2010,Standard,US SENATE DISTRICT CA SW-CLASS III,Incumbent,"Finance, Insurance & Real Estate"
167911,1645943,2,1,9169,6,3,2,1025080,"KASHKARI, NEEL T",Lost-General,Lost,Republican,2014,Standard,GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,2,1,2,959486,"LUNGREN, DANIEL E",Lost-General,Lost,Republican,1998,Standard,GOVERNOR,Open,Construction
223743,433187,1,1,9169,6,1,2,936250,"CHIANG, JOHN",Lost-Top Two Primary,Lost,Democratic,2018,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
65375,29169,2,1,9169,2,1,2,917353,"WHITMAN, MARGARET C (MEG)",Lost-General,Lost,Republican,2010,Standard,GOVERNOR,Open,Construction
103467,6398792,1,1,9169,5,1,1,900857,"DAVIS, GRAY",Won-General,Won,Democratic,1998,Standard,GOVERNOR,Open,Energy & Natural Resources
103467,6398792,1,1,9169,8,1,1,883203,"DAVIS, GRAY",Won-General,Won,Democratic,1998,Standard,GOVERNOR,Open,Health
223744,312332,1,1,9169,5,1,1,882506,"NEWSOM, GAVIN",Won-General,Won,Democratic,2018,Standard,GOVERNOR,Open,Energy & Natural Resources
161117,18930573,2,1,14929,6,3,2,876182,"FIORINA, CARLY",Lost-General,Lost,Republican,2010,Standard,US SENATE DISTRICT CA SW-CLASS III,Challenger,"Finance, Insurance & Real Estate"
223781,2388358,4,1,9176,6,1,2,867551,"TUCK, MARSHALL",Lost-General,Lost,Nonpartisan,2018,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,"Finance, Insurance & Real Estate"
65375,29169,2,1,9169,5,1,2,862781,"WHITMAN, MARGARET C (MEG)",Lost-General,Lost,Republican,2010,Standard,GOVERNOR,Open,Energy & Natural Resources
167906,70023,1,1,9169,5,2,1,851450,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2014,Standard,GOVERNOR,Incumbent,Energy & Natural Resources
15208,6468714,1,1,9175,6,1,2,823785,"DELGADILLO, ROCKY",Lost-Primary,Lost,Democratic,2006,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
211497,21642,1,1,14929,6,1,1,815056,"HARRIS, KAMALA D",Won-General,Won,Democratic,2016,Standard,US SENATE DISTRICT CA SW-CLASS III,Open,"Finance, Insurance & Real Estate"
227023,331199,2,1,15018,6,2,1,814400,"MCCARTHY, KEVIN",Won-General,Won,Republican,2018,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
141950,331199,2,1,15018,6,2,1,809900,"MCCARTHY, KEVIN",Won-General,Won,Republican,2012,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
125813,21642,1,1,9175,6,1,1,801771,"HARRIS, KAMALA D",Won-General,Won,Democratic,2010,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
66968,6686461,2,1,9175,6,1,2,795921,"COOLEY, STEVE",Lost-General,Lost,Republican,2010,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
223775,363200,1,1,9173,8,1,2,784967,"HERNANDEZ, EDWARD P",Lost-General,Lost,Democratic,2018,Standard,LIEUTENANT GOVERNOR,Open,Health
55047,6566757,2,1,9175,6,1,2,779043,"POOCHIGIAN, CHARLES S",Lost-General,Lost,Republican,2006,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
168125,390709,2,1,15034,6,2,1,778686,"ROYCE SR, EDWARD D",Won-General,Won,Republican,2014,Standard,US HOUSE DISTRICT CA 039,Incumbent,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,8,1,2,775367,"LUNGREN, DANIEL E",Lost-General,Lost,Republican,1998,Standard,GOVERNOR,Open,Health
141954,390709,2,1,15034,6,2,1,774599,"ROYCE SR, EDWARD D",Won-General,Won,Republican,2012,Standard,US HOUSE DISTRICT CA 039,Incumbent,"Finance, Insurance & Real Estate"
103514,728939,1,1,9174,6,2,1,734772,"ANGELIDES, PHIL",Won-General,Won,Democratic,1998,Standard,TREASURER,Incumbent,"Finance, Insurance & Real Estate"
167918,312332,1,1,9173,6,2,1,721398,"NEWSOM, GAVIN",Won-General,Won,Democratic,2014,Standard,LIEUTENANT GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
223759,44000521,2,1,9169,6,1,2,707975,"COX, JOHN H",Lost-General,Lost,Republican,2018,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
103792,13010608,3,1,9176,6,1,1,701604,"OCONNELL, JACK",Won-General,Won,Third-Party,2002,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,"Finance, Insurance & Real Estate"
202189,331199,2,1,15018,8,2,1,700853,"MCCARTHY, KEVIN",Won-General,Won,Republican,2016,Standard,US HOUSE DISTRICT CA 023,Incumbent,Health
12372,13010147,2,1,9170,6,1,2,694138,"ANDAL, DEAN F",Lost-Primary,Lost,Republican,2002,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
103465,1264215,1,1,9175,6,1,1,676726,"LOCKYER, BILL",Won-General,Won,Democratic,1998,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
86163,13011204,2,1,704,6,2,1,675886,"JOHNSON, ROSS",Won-General,Won,Republican,2000,Standard,SENATE DISTRICT 035,Incumbent,"Finance, Insurance & Real Estate"
123398,70023,1,1,9169,5,1,1,651195,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2010,Standard,GOVERNOR,Open,Energy & Natural Resources
33014,48993,2,1,9169,8,3,2,634280,"SIMON JR, WILLIAM E (BILL)",Lost-General,Lost,Republican,2002,Standard,GOVERNOR,Challenger,Health
82850,6398585,1,1,636,6,2,1,633549,"WESSON JR, HERB J",Won-General,Won,Democratic,2002,Standard,ASSEMBLY DISTRICT 047,Incumbent,"Finance, Insurance & Real Estate"
2579,12996619,2,1,9169,6,1,2,620873,"JONES, BILL",Lost-Primary,Lost,Republican,2002,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
223730,16562595,1,1,9175,6,2,1,617135,"BECERRA, XAVIER",Won-General,Won,Democratic,2018,Standard,ATTORNEY GENERAL,Incumbent,"Finance, Insurance & Real Estate"
55037,2481759,2,1,9173,6,1,2,610057,"MCCLINTOCK, TOM",Lost-General,Lost,Republican,2006,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
58340,728939,1,1,9169,8,3,2,606847,"ANGELIDES, PHIL",Lost-General,Lost,Democratic,2006,Standard,GOVERNOR,Challenger,Health
168047,331199,2,1,15018,6,2,1,599245,"MCCARTHY, KEVIN",Won-General,Won,Republican,2014,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
223772,666867,1,1,9173,6,1,1,591685,"KOUNALAKIS, ELENI TSAKOPOLOUS",Won-General,Won,Democratic,2018,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
84766,2138468,2,1,9169,2,1,1,586070,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2003,Standard,GOVERNOR,Open,Construction
103758,13008505,1,1,678,6,2,1,584997,"PERATA, DON",Won-General,Won,Democratic,2004,Standard,SENATE DISTRICT 009,Incumbent,"Finance, Insurance & Real Estate"
167942,21642,1,1,9175,6,2,1,578255,"HARRIS, KAMALA D",Won-General,Won,Democratic,2014,Standard,ATTORNEY GENERAL,Incumbent,"Finance, Insurance & Real Estate"
227264,2429326,2,1,15017,6,2,1,574641,"NUNES, DEVIN G",Won-General,Won,Republican,2018,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
115444,12997062,1,1,9173,6,1,1,573071,"GARAMENDI, JOHN",Won-General,Won,Democratic,2006,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
111040,12996637,2,1,9172,6,1,1,550050,"POIZNER, STEPHEN (STEVE)",Won-General,Won,Republican,2006,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
125744,312332,1,1,9173,6,1,1,546982,"NEWSOM, GAVIN",Won-General,Won,Democratic,2010,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
20921,12996637,2,1,9169,6,1,2,541040,"POIZNER, STEPHEN (STEVE)",Lost-Primary,Lost,Republican,2010,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
103531,6451725,1,1,634,6,2,1,540617,"VILLARAIGOSA, ANTONIO",Won-General,Won,Democratic,1998,Standard,ASSEMBLY DISTRICT 045,Incumbent,"Finance, Insurance & Real Estate"
55055,6601271,2,1,9170,6,1,2,538537,"STRICKLAND, TONY",Lost-General,Lost,Republican,2006,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
58530,1967393,2,1,9171,6,2,2,527732,"MCPHERSON, BRUCE",Lost-General,Lost,Republican,2006,Standard,SECRETARY OF STATE,Incumbent,"Finance, Insurance & Real Estate"
35465,6398859,1,1,9169,6,1,2,519672,"BUSTAMANTE, CRUZ M",Lost-General,Lost,Democratic,2003,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
86133,6617052,2,1,700,6,2,1,518626,"BRULTE, JAMES L",Won-General,Won,Republican,2000,Standard,SENATE DISTRICT 031,Incumbent,"Finance, Insurance & Real Estate"
141950,331199,2,1,15018,8,2,1,515949,"MCCARTHY, KEVIN",Won-General,Won,Republican,2012,Standard,US HOUSE DISTRICT CA 023,Incumbent,Health
125800,1920664,1,1,675,6,2,1,515639,"STEINBERG, DARRELL S",Won-General,Won,Democratic,2010,Standard,SENATE DISTRICT 006,Incumbent,"Finance, Insurance & Real Estate"
109368,6413790,1,1,674,6,2,1,512736,"MACHADO, MICHAEL J",Won-General,Won,Democratic,2004,Standard,SENATE DISTRICT 005,Incumbent,"Finance, Insurance & Real Estate"
227023,331199,2,1,15018,8,2,1,509500,"MCCARTHY, KEVIN",Won-General,Won,Republican,2018,Standard,US HOUSE DISTRICT CA 023,Incumbent,Health
223744,312332,1,1,9169,2,1,1,507720,"NEWSOM, GAVIN",Won-General,Won,Democratic,2018,Standard,GOVERNOR,Open,Construction
228232,26294,1,1,15414,6,2,1,498622,"FEINSTEIN, DIANNE",Won-General,Won,Democratic,2018,Standard,US SENATE DISTRICT CA SW-CLASS I,Incumbent,"Finance, Insurance & Real Estate"
123398,70023,1,1,9169,2,1,1,497552,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2010,Standard,GOVERNOR,Open,Construction
160449,331199,2,1,15017,6,2,1,491400,"MCCARTHY, KEVIN",Won-General,Won,Republican,2010,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
202189,331199,2,1,15018,5,2,1,490850,"MCCARTHY, KEVIN",Won-General,Won,Republican,2016,Standard,US HOUSE DISTRICT CA 023,Incumbent,Energy & Natural Resources
84766,2138468,2,1,9169,8,1,1,490482,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2003,Standard,GOVERNOR,Open,Health
223743,433187,1,1,9169,8,1,2,490361,"CHIANG, JOHN",Lost-Top Two Primary,Lost,Democratic,2018,Standard,GOVERNOR,Open,Health
82904,728939,1,1,9174,2,2,1,490118,"ANGELIDES, PHIL",Won-General,Won,Democratic,2002,Standard,TREASURER,Incumbent,Construction
202187,2429326,2,1,15017,6,2,1,486200,"NUNES, DEVIN G",Won-General,Won,Republican,2016,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
160115,390709,2,1,15035,6,2,1,478755,"ROYCE SR, EDWARD D",Won-General,Won,Republican,2010,Standard,US HOUSE DISTRICT CA 040,Incumbent,"Finance, Insurance & Real Estate"
33015,1967393,2,1,9173,6,3,2,474357,"MCPHERSON, BRUCE",Lost-General,Lost,Republican,2002,Standard,LIEUTENANT GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
12264,1256503,1,1,9169,8,1,2,467750,"HARMAN, JANE",Lost-Primary,Lost,Democratic,1998,Standard,GOVERNOR,Open,Health
226795,17657757,1,1,15031,8,2,1,465510,"RUIZ, RAUL",Won-General,Won,Democratic,2018,Standard,US HOUSE DISTRICT CA 036,Incumbent,Health
103590,6617274,2,1,652,6,2,1,456666,"LEONARD, BILL",Won-General,Won,Republican,1998,Standard,ASSEMBLY DISTRICT 063,Incumbent,"Finance, Insurance & Real Estate"
66969,6601271,2,1,9170,6,3,2,454600,"STRICKLAND, TONY",Lost-General,Lost,Republican,2010,Standard,CONTROLLER,Challenger,"Finance, Insurance & Real Estate"
202138,12556998,1,1,15002,8,2,1,453130,"BERA, AMI",Won-General,Won,Democratic,2016,Standard,US HOUSE DISTRICT CA 007,Incumbent,Health
202138,12556998,1,1,15002,6,2,1,443700,"BERA, AMI",Won-General,Won,Democratic,2016,Standard,US HOUSE DISTRICT CA 007,Incumbent,"Finance, Insurance & Real Estate"
82862,12997062,1,1,9172,6,1,1,442670,"GARAMENDI, JOHN",Won-General,Won,Democratic,2002,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
141950,331199,2,1,15018,5,2,1,439400,"MCCARTHY, KEVIN",Won-General,Won,Republican,2012,Standard,US HOUSE DISTRICT CA 023,Incumbent,Energy & Natural Resources
86134,1288156,1,1,672,5,2,1,438807,"BURTON, JOHN L",Won-General,Won,Democratic,2000,Standard,SENATE DISTRICT 003,Incumbent,Energy & Natural Resources
168205,363200,1,1,691,8,2,1,437078,"HERNANDEZ, EDWARD P",Won-General,Won,Democratic,2014,Standard,SENATE DISTRICT 022,Incumbent,Health
185903,16535081,4,1,18911,6,1,1,436695,"GAMOIAN, LISA M",Won-General,Won,Nonpartisan,2014,Standard,SUPERIOR COURT DISTRICT FRESNO COUNTY-015,Open,"Finance, Insurance & Real Estate"
82911,6398859,1,1,9173,6,2,1,434960,"BUSTAMANTE, CRUZ M",Won-General,Won,Democratic,2002,Standard,LIEUTENANT GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
226707,12556998,1,1,15002,8,2,1,434699,"BERA, AMI",Won-General,Won,Democratic,2018,Standard,US HOUSE DISTRICT CA 007,Incumbent,Health
202568,23421309,2,1,655,6,2,2,433668,"HADLEY, DAVID F",Lost-General,Lost,Republican,2016,Standard,ASSEMBLY DISTRICT 066,Incumbent,"Finance, Insurance & Real Estate"
2589,12996620,2,1,9169,8,1,2,432382,"RIORDAN, RICHARD J",Lost-Primary,Lost,Republican,2002,Standard,GOVERNOR,Open,Health
49895,2481759,2,1,9170,6,1,2,431479,"MCCLINTOCK, TOM",Lost-General,Lost,Republican,2002,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
58340,728939,1,1,9169,2,3,2,429093,"ANGELIDES, PHIL",Lost-General,Lost,Democratic,2006,Standard,GOVERNOR,Challenger,Construction
226920,13008846,2,1,15040,6,2,2,428699,"WALTERS, MIMI",Lost-General,Lost,Republican,2018,Standard,US HOUSE DISTRICT CA 045,Incumbent,"Finance, Insurance & Real Estate"
167954,2388358,4,1,9176,6,3,2,428351,"TUCK, MARSHALL",Lost-General,Lost,Nonpartisan,2014,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Challenger,"Finance, Insurance & Real Estate"
82897,1264215,1,1,9175,8,2,1,423599,"LOCKYER, BILL",Won-General,Won,Democratic,2002,Standard,ATTORNEY GENERAL,Incumbent,Health
202131,1952480,1,1,15000,6,2,1,423381,"THOMPSON, MIKE",Won-General,Won,Democratic,2016,Standard,US HOUSE DISTRICT CA 005,Incumbent,"Finance, Insurance & Real Estate"
202428,16635303,2,1,605,6,2,1,421582,"BAKER, CATHARINE",Won-General,Won,Republican,2016,Standard,ASSEMBLY DISTRICT 016,Incumbent,"Finance, Insurance & Real Estate"
227023,331199,2,1,15018,5,2,1,421300,"MCCARTHY, KEVIN",Won-General,Won,Republican,2018,Standard,US HOUSE DISTRICT CA 023,Incumbent,Energy & Natural Resources
227228,1952480,1,1,15000,6,2,1,420320,"THOMPSON, MIKE",Won-General,Won,Democratic,2018,Standard,US HOUSE DISTRICT CA 005,Incumbent,"Finance, Insurance & Real Estate"
140986,17657735,1,1,15025,6,2,2,419700,"BERMAN, HOWARD L",Lost-General,Lost,Democratic,2012,Standard,US HOUSE DISTRICT CA 030,Incumbent,"Finance, Insurance & Real Estate"
125800,1920664,1,1,675,8,2,1,417850,"STEINBERG, DARRELL S",Won-General,Won,Democratic,2010,Standard,SENATE DISTRICT 006,Incumbent,Health
167906,70023,1,1,9169,2,2,1,415313,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2014,Standard,GOVERNOR,Incumbent,Construction
167983,12556998,1,1,15002,8,2,1,413758,"BERA, AMI",Won-General,Won,Democratic,2014,Standard,US HOUSE DISTRICT CA 007,Incumbent,Health
117007,791867,2,1,618,6,2,1,412595,"VILLINES, MICHAEL N",Won-General,Won,Republican,2008,Standard,ASSEMBLY DISTRICT 029,Incumbent,"Finance, Insurance & Real Estate"
110983,433187,1,1,9170,6,1,1,409909,"CHIANG, JOHN",Won-General,Won,Democratic,2006,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
82850,6398585,1,1,636,8,2,1,409485,"WESSON JR, HERB J",Won-General,Won,Democratic,2002,Standard,ASSEMBLY DISTRICT 047,Incumbent,Health
202298,622640,1,1,15046,6,2,1,409200,"VARGAS, JUAN",Won-General,Won,Democratic,2016,Standard,US HOUSE DISTRICT CA 051,Incumbent,"Finance, Insurance & Real Estate"
86159,6413709,1,1,629,6,2,1,408703,"HERTZBERG, ROBERT (BOB)",Won-General,Won,Democratic,2000,Standard,ASSEMBLY DISTRICT 040,Incumbent,"Finance, Insurance & Real Estate"
202239,17657757,1,1,15031,8,2,1,399540,"RUIZ, RAUL",Won-General,Won,Democratic,2016,Standard,US HOUSE DISTRICT CA 036,Incumbent,Health
202221,369166,1,1,15025,6,2,1,398515,"SHERMAN, BRAD",Won-General,Won,Democratic,2016,Standard,US HOUSE DISTRICT CA 030,Incumbent,"Finance, Insurance & Real Estate"
125815,13008469,1,1,9172,8,1,1,397486,"JONES, DAVE",Won-General,Won,Democratic,2010,Standard,INSURANCE COMMISSIONER,Open,Health
86134,1288156,1,1,672,8,2,1,396435,"BURTON, JOHN L",Won-General,Won,Democratic,2000,Standard,SENATE DISTRICT 003,Incumbent,Health
141957,1874435,2,1,15040,6,2,1,392663,"CAMPBELL, JOHN",Won-General,Won,Republican,2012,Standard,US HOUSE DISTRICT CA 045,Incumbent,"Finance, Insurance & Real Estate"
2589,12996620,2,1,9169,2,1,2,391388,"RIORDAN, RICHARD J",Lost-Primary,Lost,Republican,2002,Standard,GOVERNOR,Open,Construction
117144,6601271,2,1,688,6,1,1,387116,"STRICKLAND, TONY",Won-General,Won,Republican,2008,Standard,SENATE DISTRICT 019,Open,"Finance, Insurance & Real Estate"
111034,13008677,1,1,635,6,2,1,385359,"NUNEZ, FABIAN",Won-General,Won,Democratic,2006,Standard,ASSEMBLY DISTRICT 046,Incumbent,"Finance, Insurance & Real Estate"
110993,13008566,2,1,681,6,2,1,384525,"DENHAM, JEFF",Won-General,Won,Republican,2006,Standard,SENATE DISTRICT 012,Incumbent,"Finance, Insurance & Real Estate"
226797,17657762,1,1,15033,6,2,1,383765,"SANCHEZ, LINDA T",Won-General,Won,Democratic,2018,Standard,US HOUSE DISTRICT CA 038,Incumbent,"Finance, Insurance & Real Estate"
168046,2429326,2,1,15017,6,2,1,382750,"NUNES, DEVIN G",Won-General,Won,Republican,2014,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
111025,1264215,1,1,9174,6,1,1,382059,"LOCKYER, BILL",Won-General,Won,Democratic,2006,Standard,TREASURER,Open,"Finance, Insurance & Real Estate"
160415,1874435,2,1,15043,6,2,1,380547,"CAMPBELL, JOHN",Won-General,Won,Republican,2010,Standard,US HOUSE DISTRICT CA 048,Incumbent,"Finance, Insurance & Real Estate"
82897,1264215,1,1,9175,5,2,1,379669,"LOCKYER, BILL",Won-General,Won,Democratic,2002,Standard,ATTORNEY GENERAL,Incumbent,Energy & Natural Resources
227250,43937863,1,1,15005,6,3,1,379149,"HARDER, JOSH",Won-General,Won,Democratic,2018,Standard,US HOUSE DISTRICT CA 010,Challenger,"Finance, Insurance & Real Estate"
12373,792818,1,1,9172,8,1,2,378600,"CALDERON, THOMAS M (TOM)",Lost-Primary,Lost,Democratic,2002,Standard,INSURANCE COMMISSIONER,Open,Health
